stationId,zipcode,lat,long
3141,10065,40.76500525,-73.95818491
3142,10065,40.7612274,-73.96094022
3143,10075,40.77632142182271,-73.96427392959595
3145,10028,40.77862688,-73.95772073
3146,10028,40.77573034,-73.9567526
3148,10028,40.77565541,-73.95068615
3150,10028,40.77536905,-73.94803392
3151,10028,40.7728384,-73.94989233
3152,10021,40.76873687,-73.96119945
3154,10075,40.77314236,-73.95856158
3155,10065,40.76440023,-73.96648977
3156,10021,40.76663814,-73.95348296
3157,10028,40.77518615,-73.94446054
3158,10023,40.77163851,-73.98261428
3159,10023,40.77492513,-73.98266566
3160,10024,40.77896784,-73.97374737
3161,10023,40.7801839724239,-73.97728532552719
3162,10024,40.78339981,-73.98093133
3163,10023,40.7734066,-73.97782542
3164,10023,40.7770575,-73.97898475
3165,10023,40.77579376683666,-73.9762057363987
3166,10023,40.78057799010334,-73.98562431335449
3167,10023,40.77966809007312,-73.98093044757842
3168,10024,40.78472675,-73.96961715
3169,10024,40.78720869,-73.98128127
3170,10024,40.78499979,-73.97283406
3171,10024,40.78524672,-73.97667321
3172,10023,40.7785669,-73.97754961
3173,10069,40.777507027547976,-73.98888587951659
3175,10023,40.77748046,-73.98288594
3177,10024,40.7867947,-73.977112
3178,10024,40.78414472,-73.98362492
3179,11206,40.698617,-73.941342
3182,10004,40.686931,-74.016966
3184,07302,40.7141454,-74.0335519
3185,07302,40.7177325,-74.043845
3186,07302,40.71958611647166,-74.04311746358871
3187,07302,40.7211236,-74.03805095
3191,07304,40.7182113,-74.0836394
3192,07304,40.7112423,-74.0557013
3193,07306,40.7246050998869,-74.07840594649315
3194,07306,40.7253399253558,-74.06762212514877
3195,07306,40.73089709786179,-74.06391263008118
3196,07307,40.7443187,-74.0439909
3198,07307,40.748715945380226,-74.04044330120087
3199,07310,40.7287448,-74.0321082
3201,07306,40.737711,-74.066921
3202,07310,40.7272235,-74.0337589
3203,07302,40.727595966,-74.044247311
3205,07302,40.71653978099194,-74.0496379137039
3206,07306,40.7311689,-74.0575736
3207,07306,40.7376037,-74.0524783
3209,07302,40.7241765,-74.0506564
3210,07307,40.742677141,-74.051788633
3211,07302,40.72152515,-74.046304543
3212,07306,40.734785818,-74.050443636
3213,07302,40.71848892,-74.047726625
3214,07302,40.7127742,-74.0364857
3220,07306,40.734961020009514,-74.0595030784607
3221,11101,40.743,-73.93561
3225,07304,40.7236589,-74.0641943
3231,10065,40.76780080148132,-73.96592080593109
3232,11201,40.68962188790333,-73.98304268717766
3233,10017,40.75724567911726,-73.97805914282799
3235,10017,40.752165280621966,-73.97992193698882
3236,10036,40.75898481399634,-73.99379968643188
3241,11216,40.686203,-73.944694
3242,11201,40.69102925677968,-73.99183362722397
3243,10022,40.75892386377695,-73.96226227283478
3244,10003,40.73143724085228,-73.99490341544151
